Product,Price,Quantity,Date
Algae Scrubber,79.42,7,2024-07-31
Water Conditioner,35.42,3,2024-01-25
Fish Tank - 50 Gallon,182.22,4,2024-04-06
Algae Scrubber,58.47,18,2024-09-17
Algae Scrubber,87.42,8,2024-05-09
Air Stone,166.38,4,2024-06-07
Cherry Barb,187.22,2,2024-09-13
Live Aquarium Plants - Anubias,5.67,5,2023-11-30
Molly,114.37,16,2024-09-11
Otocinclus Catfish,6.27,13,2023-10-15
Aquarium Stand,74.12,9,2024-07-11
Sand Substrate,75.05,20,2024-04-11
Aquarium Filter - Small,115.91,8,2024-02-20
Air Stone,66.49,16,2024-08-04
Algae Wafers,50.77,15,2024-04-24
pH Adjuster,189.26,1,2024-05-30
Brine Shrimp,78.43,4,2024-03-30
Bacterial Supplement,131.45,5,2023-12-13
Quarantine Tank,106.88,5,2024-01-26
Guppy,111.66,17,2024-06-04
Breeding Box,110.53,2,2024-01-10
Corydoras Catfish,35.83,15,2024-08-27
Cherry Barb,98.27,13,2024-09-01
Check Valve,149.7,10,2024-07-11
Rainbow Shark,107.47,15,2023-12-24
Rainbow Shark,42.58,7,2024-04-30
Discus,166.27,12,2024-01-14
Ceramic Ornaments,123.36,19,2024-03-13
Algae Wafers,41.28,3,2024-01-03
Goldfish,158.62,17,2024-05-09
Corydoras Catfish,58.93,4,2024-01-16
Aquarium Filter - Medium,78.32,1,2024-01-23
Fish Tank - 10 Gallon,149.53,3,2024-03-07
Fish Tank - 5 Gallon,35.94,10,2023-12-19
Aquarium Filter - Small,131.65,6,2024-01-21
Live Aquarium Plants - Anubias,160.1,2,2024-06-19
Breeding Box,87.78,8,2024-01-07
Rainbow Shark,20.63,6,2024-05-08
Water Conditioner,16.51,12,2024-05-09
Fish Net,81.77,6,2024-01-18
Aquarium Background,69.77,15,2024-04-02
Decorative Rocks,132.24,4,2024-07-02
Discus,52.14,13,2024-04-20
Fish Tank - 5 Gallon,133.54,5,2023-09-28
Water Conditioner,156.86,9,2024-01-11
Rainbow Shark,65.12,11,2024-01-26
Angelfish,108.39,15,2024-05-04
Fish Tank - 50 Gallon,178.21,4,2024-08-03
Breeding Box,164.6,11,2024-03-26
Aquarium Heater,44.15,4,2023-11-07
Water Conditioner,11.05,13,2024-04-05
Algae Wafers,78.68,20,2024-04-05
Driftwood,44.62,3,2024-02-11
Breeding Box,51.2,2,2024-05-14
Water Conditioner,82.21,11,2024-05-24
Fish Tank - 10 Gallon,43.82,11,2023-12-04
Driftwood,131.5,1,2024-04-20
Siamese Algae Eater,34.06,14,2024-01-10
Thermometer,73.39,20,2024-05-27
Water Test Kit,108.31,14,2024-02-03
Ceramic Ornaments,6.33,2,2023-12-18
Check Valve,5.86,11,2024-09-07
Sand Substrate,126.49,4,2024-01-10
Bacterial Supplement,31.58,2,2024-03-19
Live Aquarium Plants - Anubias,55.85,1,2024-01-30
Discus,9.66,8,2024-01-01
Betta Tank,154.87,7,2024-06-26
Discus,114.49,17,2023-10-28
Frozen Bloodworms,178.93,8,2024-07-09
Live Aquarium Plants - Amazon Sword,52.52,3,2023-10-31
Breeding Box,147.67,7,2024-03-15
Bio Balls,163.99,6,2024-07-24
Quarantine Tank,122.52,12,2023-10-04
Aquarium Moss,173.66,13,2024-05-31
Fish Food Pellets,182.37,16,2024-07-27
Aquarium Filter - Medium,71.09,20,2024-05-28
pH Adjuster,16.34,18,2024-08-24
Corydoras Catfish,111.3,8,2024-07-17
Zebra Danio,37.83,3,2024-05-16
Aquarium Heater,75.96,4,2024-03-23
Water Conditioner,147.4,5,2024-01-26
Algae Scrubber,99.94,16,2024-08-25
Betta Fish,196.8,6,2024-02-06
Fish Tank - 10 Gallon,68.81,18,2024-03-14
Fish Tank - 5 Gallon,80.0,16,2024-03-12
Clown Loach,108.42,19,2023-10-30
Air Pump,9.47,18,2024-02-07
Gravel Vacuum,135.77,4,2024-08-12
Gravel Vacuum,26.99,7,2024-08-20
Aquarium Filter - Large,29.18,12,2024-04-11
LED Aquarium Light,182.58,17,2024-04-04
Aquarium Filter - Large,76.85,11,2024-04-06
Corydoras Catfish,94.7,13,2024-09-10
Zebra Danio,29.22,7,2024-02-25
Molly,48.27,14,2023-12-16
Fish Food Flakes,151.42,9,2024-02-10
Gravel Vacuum,21.63,20,2023-12-24
Check Valve,136.23,7,2023-10-09
Aquarium Background,199.63,8,2024-03-22
Check Valve,135.76,10,2024-08-30
Check Valve,5.59,12,2023-10-01
Air Pump,132.98,18,2024-09-05
Automatic Fish Feeder,22.61,6,2024-01-10
Fish Tank - 20 Gallon,46.01,10,2024-05-14
Fish Net,62.57,18,2024-08-20
Zebra Danio,26.41,6,2023-12-30
Bacterial Supplement,15.89,9,2023-12-29
Filter Cartridges,116.33,2,2024-04-21
Live Aquarium Plants - Amazon Sword,39.57,20,2024-04-09
Siamese Algae Eater,12.96,3,2024-05-18
Aquarium Filter - Small,196.38,16,2024-05-01
Algae Scrubber,168.61,20,2024-07-03
Otocinclus Catfish,126.84,5,2024-07-26
Zebra Danio,7.84,10,2023-11-19
Fish Tank - 5 Gallon,64.66,1,2024-04-08
Aquarium Heater,39.69,7,2023-11-25
Artificial Plants,170.62,3,2023-12-06
Algae Wafers,102.83,17,2024-01-21
Fish Tank - 10 Gallon,45.39,14,2024-08-04
pH Adjuster,122.07,1,2024-05-03
Algae Control,194.73,20,2024-03-06
Betta Fish,189.19,2,2024-08-10
Zebra Danio,125.66,1,2024-02-03
Rainbow Shark,123.99,2,2024-08-31
Decorative Rocks,101.04,6,2024-05-05
Fish Food Pellets,185.39,20,2024-07-14
Quarantine Tank,25.78,15,2023-12-21
Live Aquarium Plants - Amazon Sword,46.77,5,2024-01-27
Live Aquarium Plants - Java Fern,72.17,12,2024-03-11
Aquarium Moss,183.29,12,2023-11-01
Brine Shrimp,79.07,3,2023-11-17
Driftwood,52.79,9,2023-12-03
Aquarium Stand,163.0,1,2024-09-09
Check Valve,32.19,19,2024-06-09
Water Conditioner,160.66,4,2024-06-06
Live Aquarium Plants - Anubias,113.54,14,2023-11-03
Bio Balls,87.95,8,2024-02-24
Aquarium Filter - Small,159.38,15,2023-12-07
Betta Tank,94.65,7,2024-04-15
Siamese Algae Eater,159.18,1,2024-09-05
Aquarium Moss,43.21,16,2024-04-24
Aquarium Stand,52.73,1,2023-12-11
Driftwood,111.53,18,2024-04-30
Aquarium Background,141.45,11,2024-05-31
Discus,109.15,12,2024-02-18
Algae Wafers,195.86,11,2024-01-30
Corydoras Catfish,101.56,5,2023-10-01
Aquarium Heater,153.7,15,2023-12-08
Zebra Danio,12.14,15,2024-07-29
Live Aquarium Plants - Java Fern,148.26,6,2024-04-17
Aquarium Stand,7.13,9,2023-12-21
pH Adjuster,120.44,10,2024-01-27
Neon Tetra,147.57,8,2024-06-07
Breeding Box,85.43,7,2024-01-31
Decorative Rocks,112.45,16,2023-10-09
Guppy,180.69,3,2024-08-17
Algae Wafers,59.65,13,2024-01-06
Fish Net,161.94,17,2024-08-03
Clown Loach,6.27,17,2024-06-06
Guppy,57.14,10,2024-04-10
Discus,148.58,3,2023-10-15
Platy,64.67,17,2024-02-27
Angelfish,170.8,17,2024-07-15
Fish Tank - 10 Gallon,94.11,13,2024-01-29
Fish Net,166.4,11,2023-11-02
Fish Tank - 20 Gallon,130.42,16,2024-07-29
Fish Food Flakes,41.97,5,2024-08-28
Frozen Bloodworms,154.46,10,2023-10-19
LED Aquarium Light,118.32,6,2024-08-21
Aquarium Heater,185.82,16,2024-05-07
